City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,finnsnes,69.2296,17.9811,6.34,91,100,5.37,NO,1674365387
309,zhoucheng,35.9122,116.3117,7.91,47,98,2.36,CN,1674365388
310,pisco,-13.7,-76.2167,22.03,83,100,0.0,PE,1674364857
311,sydney,-33.8679,151.2073,20.76,85,75,2.57,AU,1674364604
312,beisfjord,68.3751,17.5988,4.03,90,100,2.82,NO,1674365388
313,talnakh,69.4865,88.3972,-19.33,65,100,6.38,RU,1674364861
314,ugoofaaru,5.6667,73.0,26.56,71,89,6.68,MV,1674365389
315,norman wells,65.282,-126.8329,-18.98,78,100,2.57,CA,1674364851
316,sars,56.5502,57.1366,-12.45,82,100,4.01,RU,1674365389
317,monroe,43.1501,-77.6831,0.83,87,100,0.0,US,1674365291
318,basco,20.4487,121.9702,24.18,77,95,8.74,PH,1674365390
319,bronnoysund,65.4625,12.1997,6.0,39,100,3.13,NO,1674365390
320,kirakira,-10.4544,161.9205,28.59,76,100,1.76,SB,1674364808
321,anadyr,64.75,177.4833,-28.72,75,0,4.0,RU,1674364954
322,yanam,16.7333,82.2167,27.53,57,94,2.88,IN,1674364950
323,vestmanna,62.1564,-7.1664,6.51,100,100,5.14,FO,1674365391
324,mashhad,36.297,59.6062,-2.92,80,40,0.0,IR,1674365391
325,makrana,27.05,74.7167,17.12,47,55,4.71,IN,1674365391
326,iqaluit,63.7506,-68.5145,-12.15,84,100,2.57,CA,1674364829
327,mnogovershinnyy,53.9353,139.9242,-24.68,81,100,2.99,RU,1674365392
328,orapa,-21.2833,25.3667,22.93,63,3,2.28,BW,1674365392
329,chumikan,54.7183,135.315,-27.06,80,25,8.0,RU,1674365383
330,boguchany,58.3814,97.4531,-33.56,92,50,1.18,RU,1674365393
331,bizhbulyak,53.6967,54.2642,-17.73,80,99,1.5,RU,1674365393
332,ishigaki,24.3448,124.1572,24.07,73,75,6.69,JP,1674365393
333,paamiut,61.994,-49.6678,-8.51,82,100,8.98,GL,1674364886
334,acarau,-2.8856,-40.12,24.77,86,69,3.73,BR,1674364851
335,muli,2.9167,73.5667,27.09,76,81,7.8,MV,1674365394
336,madimba,-10.4,40.3333,23.62,94,75,5.14,TZ,1674365238
337,ormara,25.2088,64.6357,16.39,32,0,8.34,PK,1674365395
338,samarai,-10.6167,150.6667,28.24,75,98,1.74,PG,1674365395
339,trinidad,-14.8333,-64.9,22.72,85,13,1.83,BO,1674365396
340,bongandanga,1.5,21.05,19.85,94,100,1.33,CD,1674365396
341,madawaska,47.3561,-68.3288,-21.89,84,94,0.51,US,1674365396
342,diplo,24.4667,69.584,18.73,32,0,5.74,PK,1674365397
343,tautira,-17.7333,-149.15,26.12,71,100,0.79,PF,1674365397
344,tazmalt,36.3868,4.3989,2.41,94,89,2.23,DZ,1674365397
345,sorland,67.667,12.6934,5.92,93,100,18.37,NO,1674365397
346,asyut,27.181,31.1837,7.1,73,0,2.46,EG,1674365398
347,senanga,-16.1167,23.2667,18.23,98,100,3.14,ZM,1674365398
348,pangai,-19.8,-174.35,28.28,72,6,6.02,TO,1674365398
349,port hardy,50.6996,-127.4199,3.1,93,75,3.09,CA,1674364960
